@relation meta_ratings_train-weka.filters.unsupervised.attribute.NumericToNominal-R7

@attribute movie {'American Gangster','American Pie','Andaz Apna Apna','Anna Karenina','A Fish Called Wanda','A Goofy Movie','A Million Ways to Die in the West','A Single Man','Bhoothnath Returns','Big Hero 6','Black Swan','Bobby Jasoos','Boogie Nights',Bronson,'Bros Before Hos','Brother Bear','Casino Royale',Chef,'Dirty Dancing','Donnie Darko',Drive,'Excuse My French','Full Metal Jacket','Grand Piano',Homies,Hook,'Hotel Transylvania','Inherent Vice',Interstellar,'Into the Wild','Into the Woods',Invincible,'Jack Reacher','Jerry Maguire','John Wick',Khoobsurat,Khumba,'Lets Be Cops','Le Samourai','Live Nude Girls','Lord of the Flies','Maine Pyar Kiya','Mean Girls','Monsters University','Moulin Rouge!','Mr. Go',Mulan,'My Week with Marilyn',Nightcrawler,'Ode to My Father',Predestination,'Pulp Fiction',RED,'Robin Hood','Seventh Son','Shakespeare in Love','Some Like It Hot','Still Alice','The Babadook','The Birdcage','The Blair Witch Project','The Book of Life','The Bourne Legacy','The Cobbler','The Dark Knight','The Fault in Our Stars','The Great Gatsby','The Hunger Games','The Imitation Game','The Judge','The Last Days on Mars','The Lizzie McGuire Movie','The Matrix','The Maze Runner','The Normal Heart','The Parent Trap','The Phantom Tollbooth','The Reader','The Reluctant Dragon','The Theory of Everything','This Is Where I Leave You','Total Recall','V for Vendetta','Welcome to Me','Wild Tales','Words and Pictures'}
@attribute year numeric
@attribute runtime numeric
@attribute metascore numeric
@attribute imdbRating numeric
@attribute tomatoUserRating numeric
@attribute goodforairplane {0,1}
@attribute rated_G numeric
@attribute rated_N/A numeric
@attribute rated_PG numeric
@attribute rated_PG-13 numeric
@attribute rated_R numeric
@attribute rated_TV-MA numeric
@attribute country_Australia numeric
@attribute country_Bahamas numeric
@attribute country_Belgium numeric
@attribute 'country_Bosnia and Herzegovina' numeric
@attribute country_Bulgaria numeric
@attribute country_Canada numeric
@attribute country_China numeric
@attribute 'country_Czech Republic' numeric
@attribute country_Denmark numeric
@attribute country_Egypt numeric
@attribute country_France numeric
@attribute country_Germany numeric
@attribute 'country_Hong Kong' numeric
@attribute country_Iceland numeric
@attribute country_India numeric
@attribute country_Ireland numeric
@attribute country_Italy numeric
@attribute country_Japan numeric
@attribute country_Luxembourg numeric
@attribute country_Netherlands numeric
@attribute country_Norway numeric
@attribute country_Portugal numeric
@attribute country_Russia numeric
@attribute 'country_South Africa' numeric
@attribute 'country_South Korea' numeric
@attribute country_Spain numeric
@attribute country_Sweden numeric
@attribute country_Switzerland numeric
@attribute country_Turkey numeric
@attribute country_UK numeric
@attribute country_USA numeric
@attribute 'country_United Arab Emirates' numeric
@attribute language_Arabic numeric
@attribute language_Bengali numeric
@attribute language_Bosnian numeric
@attribute language_Cantonese numeric
@attribute language_Catalan numeric
@attribute language_Chinese numeric
@attribute language_Croatian numeric
@attribute language_Danish numeric
@attribute language_Dutch numeric
@attribute 'language_Egyptian (Ancient)' numeric
@attribute language_English numeric
@attribute language_Filipino numeric
@attribute language_Flemish numeric
@attribute language_French numeric
@attribute language_German numeric
@attribute language_Greek numeric
@attribute language_Hindi numeric
@attribute language_Hmong numeric
@attribute language_Hungarian numeric
@attribute language_Icelandic numeric
@attribute language_Inuktitut numeric
@attribute language_Italian numeric
@attribute language_Japanese numeric
@attribute language_Konkani numeric
@attribute language_Korean numeric
@attribute language_Latin numeric
@attribute language_Mandarin numeric
@attribute language_Navajo numeric
@attribute language_Portuguese numeric
@attribute language_Russian numeric
@attribute 'language_Scottish Gaelic' numeric
@attribute language_Serbian numeric
@attribute 'language_Sign Languages' numeric
@attribute language_Spanish numeric
@attribute language_Swahili numeric
@attribute language_Turkish numeric
@attribute language_Urdu numeric
@attribute language_Vietnamese numeric
@attribute language_Yiddish numeric
@attribute genre_Adventure numeric
@attribute genre_Animation numeric
@attribute genre_Biography numeric
@attribute genre_Comedy numeric
@attribute genre_Crime numeric
@attribute genre_Drama numeric
@attribute genre_Family numeric
@attribute genre_Fantasy numeric
@attribute genre_History numeric
@attribute genre_Horror numeric
@attribute genre_Music numeric
@attribute genre_Musical numeric
@attribute genre_Mystery numeric
@attribute genre_Romance numeric
@attribute genre_Sci-Fi numeric
@attribute genre_Sport numeric
@attribute genre_Thriller numeric
@attribute genre_War numeric
@attribute genre_Western numeric

@data
'American Gangster',2007,157,76,7.8,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
'American Pie',1999,95,58,7,3.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
'Andaz Apna Apna',1994,160,?,8.8,4.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
'Anna Karenina',2012,129,63,6.6,3.2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
'A Fish Called Wanda',1988,108,80,7.6,3.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'A Goofy Movie',1995,78,?,6.8,3.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'A Million Ways to Die in the West',2014,116,44,6.1,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
'A Single Man',2009,99,77,7.6,3.8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
'Bhoothnath Returns',2014,155,?,7,3.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
'Big Hero 6',2014,102,74,7.9,4.3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
