KNN,Decision tree,SVM,Bagging,Random forest,AdaBoost,Naive bayes,Logistic Regression,Gradient Boosting Tree,goodforairplanes,movie_name
1,1,1,1,1,1,1,1,1,1,10.000 Km
1,0,1,0,0,0,1,1,0,1,12 Years a Slave
1,0,1,0,1,1,0,1,0,1,2 States
1,1,1,1,1,1,0,1,1,1,21 Jump Street
1,1,1,0,1,1,1,1,1,1,A Bug's Life
1,0,1,0,1,0,1,1,0,0,A Little Chaos
1,0,1,0,1,1,0,1,1,1,A Most Wanted Man
1,1,1,1,1,1,1,1,1,1,A Simple Life
1,1,1,0,1,1,1,1,1,1,A_Fish_Called_Wanda
1,1,1,1,1,1,1,1,1,1,Aanmodderfakker
0,1,1,1,1,1,0,1,1,1,Alexander
1,1,1,0,1,1,1,1,1,1,Alexander and the Terrible Horrible No Good Very Bad Day
0,1,1,1,1,1,0,1,1,0,Alice in Wonderland
1,1,1,1,1,0,1,1,1,0,American Sniper
0,1,1,1,1,1,1,1,1,1,Anastasia
0,1,1,0,0,0,1,1,1,1,And So It Goes
0,0,1,0,1,0,1,1,1,1,Antz
0,1,1,1,1,0,1,1,1,0,Avatar
0,1,1,1,1,1,0,1,1,1,Bad News Bears
0,1,1,1,1,1,1,1,1,1,Banklady
0,1,1,0,1,0,0,1,1,1,Beetlejuice
0,1,1,1,1,0,1,1,0,1,Begin Again
0,0,1,1,1,1,1,1,1,1,Bewakoofiyaan
1,1,1,0,0,0,1,1,1,0,Bhoothnath
1,1,1,0,0,0,1,1,1,1,Billy Elliot
0,1,1,1,0,0,0,1,1,1,Blended
0,1,1,1,1,1,0,1,1,0,Blow Out
0,1,1,1,0,1,0,1,1,1,Bride Flight
1,1,1,1,1,1,0,1,1,0,Bridges of Sarajevo
0,1,1,1,1,1,1,1,1,0,Burlesque
1,1,1,1,1,1,1,1,1,0,Captain America The Winter Soldier
0,1,1,0,1,0,1,1,1,0,Cascadeur
0,1,1,0,1,0,1,1,1,1,Charlie and the Chocolate Factory
0,1,1,1,1,1,1,1,1,0,Clash of the Titans
1,1,1,1,1,1,1,1,1,1,Contact
1,1,1,1,0,1,1,1,1,0,Divergent
1,0,1,0,1,1,1,1,0,0,Django Unchained
0,0,1,1,1,0,1,1,0,1,Dolphin Tale 2
0,1,1,1,1,0,0,1,1,0,Dracula Untold
0,1,1,0,1,1,1,1,1,1,Dumb and Dumber To
0,1,1,0,1,1,0,1,1,1,Edge of Tomorrow
1,1,1,1,1,1,1,1,1,0,Fargo
1,1,1,1,1,0,1,1,1,0,Fast Five
1,1,1,1,1,1,0,1,1,1,Finding Fanny
0,1,1,1,1,1,1,1,1,1,Finding Nemo
0,1,1,0,1,1,1,1,1,0,Flying Home
1,1,1,1,1,0,1,1,1,1,Foxcatcher
1,1,1,1,0,0,1,1,1,1,From A to B
0,0,1,1,1,1,1,1,1,1,Frozen
1,1,1,1,1,0,1,1,1,0,Fury
1,0,1,1,1,0,1,1,1,0,Godzilla
0,0,1,1,1,0,1,1,1,0,Good Morning Vietnam
0,0,1,0,1,0,1,1,0,1,Good Will Hunting
0,1,1,1,1,1,0,1,1,1,Gooische vrouwen
0,1,1,1,1,1,1,1,1,1,Gran Torino
1,0,1,1,0,0,1,1,1,1,Groundhog Day
1,1,1,1,0,0,0,1,1,0,Gunday
0,0,1,1,1,1,1,1,1,0,Happy New Year
0,0,1,1,1,0,0,1,1,0,Harry Potter and the Deathly Hallows Part 2
0,1,1,1,0,0,1,1,0,1,Heaven Knows What
1,1,1,1,0,1,1,1,1,1,Hector and the Search for Happiness
0,1,1,0,0,1,1,1,1,1,Horrible Bosses 2
1,1,1,1,1,1,0,1,1,0,Hungry Hearts
1,1,1,1,1,1,0,1,1,0,I Am Big Bird The Caroll Spinney Story
1,1,1,1,1,1,1,1,1,1,In Her Shoes
0,0,1,1,0,0,0,1,0,0,Iron Man 2
0,0,1,0,0,0,0,1,0,0,Iron Man 3
0,1,1,1,1,1,0,1,1,0,Ironclad
0,1,1,1,1,1,1,1,1,0,Justin Bieber Never Say Never
0,0,1,0,0,0,1,1,0,1,Karan Arjun
0,1,1,1,0,0,1,1,1,0,Kick-Ass
1,1,1,0,1,0,0,1,1,0,Kingsman The Secret Service
0,1,1,0,0,0,0,1,1,0,Kundo Age of the Rampant
0,1,1,1,0,0,1,1,1,1,Kurt Cobain Montage of Heck
1,1,1,1,0,0,1,1,1,1,La foresta di ghiaccio
0,1,1,1,1,1,0,1,1,0,La Vie en Rose
0,0,1,0,0,0,1,1,0,1,Legally Blonde
0,1,1,1,1,0,1,1,1,1,Leviathan
0,1,1,1,1,1,0,1,1,1,Life of Crime
0,1,1,1,1,1,1,1,1,0,Lilting
0,1,1,0,1,1,0,1,1,1,Limitless
0,1,1,0,0,0,0,1,0,0,Lost Highway
1,1,1,1,0,1,1,1,1,1,Love Actually
0,0,1,0,0,0,1,1,0,1,Love Rosie
0,1,1,1,1,1,1,1,1,0,Lucy
0,1,1,1,1,1,0,1,1,1,Magic in the Moonlight
0,1,1,1,1,0,1,1,1,1,Magic Mike
1,0,1,1,1,1,1,1,1,1,Maleficent
0,0,1,1,1,0,0,1,0,1,Maps to the Stars
0,1,1,1,0,1,1,1,1,1,Mardaani
0,1,1,1,1,1,0,1,1,0,Mary Kom
0,1,1,0,1,1,1,1,1,0,Mommy
0,0,1,1,1,0,0,1,1,1,Moonrise Kingdom
0,1,1,1,1,1,0,1,1,1,Moonstruck
0,1,1,1,1,1,1,1,1,1,Mr. Mrs. Smith
